0.7337271415	parties
0.7236127845	sociology
0.7211016729	law
0.7176557091	european
0.7171181532	hand
0.7165289521	urban
0.7136323328	foreign
0.7134233458	party
0.7124199445	movements
0.7122119088	care
0.7121390369	europe
0.7115373925	construction
0.7102921309	collective
0.7092539914	france
0.7089379897	reform
0.7075542786	health
0.7031230857	dissertation
0.7027686230	order
0.6995434223	french
0.6944731782	period
0.6923591204	action
0.6916849312	society
0.6913717669	development
0.6903474508	security
0.6876013478	states
0.6862295496	model
0.6852543935	analysis
0.6845272264	context
0.6830645070	integration
0.6830182263	historical
0.6828804321	cultural
0.6819170821	movement
0.6786695499	region
0.6786304639	administrative
0.6774643383	central
0.6742536015	international
0.6719192812	political
0.6713994050	world
0.6691659399	relations
0.6690269790	public
0.6662330869	state
0.6654647782	policy
0.6649572684	research
0.6627840593	study
0.6626791302	thesis
0.6625586730	based
0.6582169784	sector
0.6539324866	process
0.6521705081	social
0.6489032328	countries
0.6424728291	understand
0.6406410209	change
0.6329759696	democratic
0.6295978224	conflict
0.6255366897	regional
0.6176508126	global
0.6145328860	economic
0.6000009073	politics
0.5859460494	national
0.5848144542	government
0.5657829764	processes
0.5619845249	part
0.5616989142	first
0.5543353877	power
0.5516289782	other
0.5452981336	work
0.5303712567	one
0.5282683786	but
0.5258117439	crisis
0.5238306851	well
0.5235915078	this
0.5232026447	new
0.5230776085	country
0.5218146296	resources
0.5129799532	impact
0.5107093980	also
0.4976441143	as
0.4939223553	evaluation
0.4783639163	on
0.4686556786	the
0.4619618424	of
0.4615540021	in
0.4534381261	institutional
0.4506385650	production
0.4494226380	reforms
0.4491365611	forms
0.4484675410	implementation
0.4480738046	results
0.4480738046	influence
0.4479886354	perspective
0.4474491782	interviews
0.4446714149	theoretical
0.4438253973	studied
0.4418455431	making
0.4414977038	to
0.4408909727	considered
0.4406110698	understanding
0.4386994170	major
0.4379520734	factors
0.4378980327	main
0.4378980327	aim
0.4376110698	conditions
0.4360288723	decision
0.4353086197	individual
0.4351160547	authorities
0.4347306306	territory
0.4346783703	problem
0.4338688251	space
0.4324147151	territorial
0.4303115175	concept
0.4300686153	finally
0.4296718991	question
0.4291576291	conflicts
0.4288115175	socio
0.4283986476	field
0.4283959405	fact
0.4266969107	cooperation
0.4260768059	–
0.4225497814	important
0.4221053370	specific
0.4209889378	transformation
0.4196023143	level
0.4190519338	issues
0.4185068724	actors
0.4165811126	issue
0.4152571745	relationship
0.4149561023	years
0.4146019652	framework
0.4143358492	aims
0.4142205785	studies
0.4141891929	case
0.4137697885	local
0.4133255854	result
0.4129796077	institutions
0.4120200359	practices
0.4117144150	dynamics
0.4090923144	policies
0.4089119738	approach
0.4076976355	role
0.3720828277	a
0.3301246019	and
0.3144324045	there
0.3120056767	when
0.3101284354	even
0.3061567492	because
0.3050190136	most
0.3048300414	his
0.3019893205	do
0.3006559872	being
0.2977666594	could
0.2972393205	people
0.2961706071	time
0.2959130413	among
0.2956211965	under
0.2948935224	over
0.2940616845	around
0.2932727956	against
0.2930131809	had
0.2918063354	i
0.2916065540	each
0.2913902470	us
0.2911230199	particular
0.2902621786	if
0.2895901308	however
0.2872323207	after
0.2860537348	some
0.2855159808	thus
0.2847311946	following
0.2843569469	them
0.2839934381	towards
0.2838599305	what
0.2837358767	up
0.2831484227	second
0.2831484227	then
0.2831484227	during
0.2818811271	therefore
0.2818811271	since
0.2818165962	those
0.2811495633	who
0.2807217524	where
0.2802662234	all
0.2797984625	or
0.2795169627	from
0.2794548476	how
0.2793806880	it
0.2788136364	we
0.2787283069	our
0.2782355114	they
0.2780600281	through
0.2779813169	these
0.2774904623	way
0.2767958524	for
0.2756101538	system
0.2755340710	use
0.2752814388	various
0.2752597074	within
0.2738344928	such
0.2731719445	out
0.2731616807	changes
0.2729454385	more
0.2724456569	be
0.2723186950	by
0.2720743003	at
0.2716824382	between
0.2716824382	which
0.2713491049	are
0.2711589950	that
0.2711044916	about
0.2708386112	were
0.2706040525	an
0.2705491049	is
0.2704631045	their
0.2701351899	three
0.2699902839	only
0.2699366327	not
0.2696985374	different
0.2691199382	has
0.2691199382	have
0.2689495513	two
0.2689366327	was
0.2689366327	been
0.2686953568	with
0.2686389264	into
0.2677593277	can
0.2666967238	will
0.2666520283	its
0.2658374637	both
